file_name,zip_entry_name,size,file_offset
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/locationmodel/wifi_accuracy.model.uncompressed,638,21868998
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/locationmodel/wifi_indoor.model.uncompressed,3306,21869734
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/locationmodel/wifi_location.model.uncompressed,8428,21873138
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/mobile_acceleration/gpu_compatibility.bin,30004,21881664
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/model_lite/model.fb_bin.jpeg,12752,21911752
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/model_lite/model_config_v1_1.bundle,5982,21924576
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_adid_package_metadata.binarypb,47,21930638
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_device_performance_package_metadata.binarypb,53,21930791
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_dtdi_logging_package_metadata.binarypb,53,21930965
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_dtdi_package_metadata.binarypb,39,21931133
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_esim_package_metadata.binarypb,39,21931279
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_gaia_experiments_package_metadata.binarypb,51,21931427
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_homegraph_package_metadata.binarypb,57,21931599
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_icing_mdd_package_metadata.binarypb,51,21931769
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_idunderstanding_package_metadata.binarypb,50,21931931
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_inappreach_package_metadata.binarypb,63,21932098
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_kidsdownload_package_metadata.binarypb,65,21932275
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_kidssettings_package_metadata.binarypb,65,21932457
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_learning_package_metadata.binarypb,68,21932637
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_maps_package_metadata.binarypb,72,21932816
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_mlbenchmark_package_metadata.binarypb,46,21932996
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_quickstart_package_metadata.binarypb,45,21933158
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_security_safebrowsing_package_metadata.binarypb,71,21933317
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_threadnetwork_package_metadata.binarypb,48,21933511
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_time_package_metadata.binarypb,39,21933676
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_trustagent_activeunlock_associated_package_metadata.binarypb,105,21933823
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_gms_trustagent_activeunlock_primary_package_metadata.binarypb,102,21934065
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_libraries_consentverifier_package_metadata.binarypb,56,21934302
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_libraries_onegoogle_package_metadata.binarypb,68,21934484
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_libraries_performance_primes_package_metadata.binarypb,80,21934672
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_libraries_spot_package_metadata.binarypb,45,21934880
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_android_libraries_surveys_package_metadata.binarypb,48,21935037
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/phenotype/com_google_lighter_android_package_metadata.binarypb,38,21935200
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes.dex,7704492,21935346
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes10.dex,1782508,29639888
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes11.dex,48328,31422448
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes2.dex,8593268,31470828
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes3.dex,8022196,40064144
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes4.dex,7871564,48086388
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes5.dex,8602472,55958000
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes6.dex,8110772,64560520
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes7.dex,7872052,72671340
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes8.dex,7388768,80543440
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,classes9.dex,6484948,87932256
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_800,298,94417252
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_808,283,94417662
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_870,331,94418059
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_878,285,94418503
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_881,299,94418901
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_882,938,94419311
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_883,657,94420362
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_888,278,94421133
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_979,301,94421522
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AC,305,94421937
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AD,451,94422353
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AE,602,94422915
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AF,440,94423630
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AG,680,94424180
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AI,661,94424972
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AL,733,94425745
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AM,654,94426589
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AO,325,94427354
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AR,8204,94427789
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AS,645,94436104
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AT,1861,94436861
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AU,1886,94438833
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AW,418,94440830
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AX,646,94441358
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_AZ,972,94442114
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BA,934,94443196
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BB,908,94444242
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BD,2071,94445260
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BE,811,94447443
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BF,423,94448367
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BG,1439,94448903
