70842000-70844000 rw-p 00000000 fe:05 1315                               /system/framework/boot-okhttp.vdex
70844000-70845000 r--p 00047000 fe:05 1477                               /system/framework/x86_64/boot-okhttp.oat
70845000-70846000 rw-p 00048000 fe:05 1477                               /system/framework/x86_64/boot-okhttp.oat
70846000-7084e000 r--p 00000000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
7084e000-70863000 r-xp 00008000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
70863000-70864000 rw-p 00000000 00:00 0                                  [anon:.bss]
70864000-7086d000 rw-p 00000000 fe:05 1307                               /system/framework/boot-bouncycastle.vdex
7086d000-7086e000 r--p 0001d000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
7086e000-7086f000 rw-p 0001e000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
7086f000-70872000 r--p 00000000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
70872000-70877000 rw-p 00000000 fe:05 1306                               /system/framework/boot-apache-xml.vdex
70877000-70878000 r--p 00003000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
70878000-70879000 rw-p 00004000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
70879000-70a6c000 r--p 00000000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
70a6c000-71210000 r-xp 001f3000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
71210000-71211000 rw-p 00000000 00:00 0                                  [anon:.bss]
71211000-712a7000 rw-p 00000000 fe:05 1313                               /system/framework/boot-framework.vdex
712a7000-712a8000 r--p 00997000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
712a8000-712a9000 rw-p 00998000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
712a9000-712ab000 r--p 00000000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
712ab000-712ac000 rw-p 00000000 fe:05 1312                               /system/framework/boot-framework-graphics.vdex
712ac000-712ad000 r--p 00002000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
712ad000-712ae000 rw-p 00003000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
712ae000-712b2000 r--p 00000000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
712b2000-712c3000 r-xp 00004000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
712c3000-712c4000 rw-p 00000000 fe:05 1310                               /system/framework/boot-ext.vdex
712c4000-712c5000 r--p 00015000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
712c5000-712c6000 rw-p 00016000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
712c6000-712cd000 r--p 00000000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
712cd000-712db000 rw-p 00000000 fe:05 1316                               /system/framework/boot-telephony-common.vdex
712db000-712dc000 r--p 00007000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
712dc000-712dd000 rw-p 00008000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
712dd000-712e0000 r--p 00000000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
712e0000-712e1000 r-xp 00003000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
712e1000-712e6000 rw-p 00000000 fe:05 1317                               /system/framework/boot-voip-common.vdex
712e6000-712e7000 r--p 00004000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
712e7000-712e8000 rw-p 00005000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
712e8000-712ea000 r--p 00000000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
712ea000-712ec000 rw-p 00000000 fe:05 1314                               /system/framework/boot-ims-common.vdex
712ec000-712ed000 r--p 00002000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
712ed000-712ee000 rw-p 00003000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
712ee000-7131c000 r--p 00000000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
7131c000-71400000 r-xp 0002e000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
71400000-71401000 rw-p 00000000 00:00 0                                  [anon:.bss]
71401000-7140a000 rw-p 00000000 fe:05 1308                               /system/framework/boot-core-icu4j.vdex
7140a000-7140b000 r--p 00112000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
7140b000-7140c000 rw-p 00113000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
7140c000-71a51000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-adservices.art]
71a51000-71a62000 r--p 00000000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
71a62000-71a87000 rw-p 00000000 fe:05 1311                               /system/framework/boot-framework-adservices.vdex
71a87000-71a88000 r--p 00011000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
71a88000-71a89000 rw-p 00012000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
71a89000-720a5000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
720a5000-720a6000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
720a6000-720b0000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
720b0000-7528a000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7528a000-75a89000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
15fcf00000-15fcf40000 rw-p 00000000 00:00 0                              [anon:js-gc-heap]
c1585c0000-c158600000 rw-p 00000000 00:00 0                              [anon:js-gc-heap]
3c513d40000-3c513d80000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
3ea09340000-3ea09380000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
4dd13f00000-4dd13f40000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
5e0b26c0000-5e0b2700000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
7360d0c0000-7360d100000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
8714aac0000-8714ab00000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
a5a8c400000-a5a8c440000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
a6f40bc0000-a6f40c00000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
c7532940000-c7532980000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
ca733dc0000-ca733e00000 rw-p 00000000 00:00 0                            [anon:js-gc-heap]
1205bd380000-1205bd3c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
14f774240000-14f774280000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1508116c0000-150811700000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1926e8900000-1926e8940000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1b9043d40000-1b9043d80000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1bfa26c00000-1bfa26c40000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1c2943680000-1c29436c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1cb40b540000-1cb40b580000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1d93bdb00000-1d93bdb40000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1eb389740000-1eb389780000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1ec78d840000-1ec78d880000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
1fa2fcf80000-1fa2fcfc0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
24edf5100000-24edf5140000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
25096a400000-25096a440000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
25811ae40000-25811ae80000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
267755a40000-267755a80000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
26bcfc040000-26bcfc080000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
273389c80000-273389cc0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
299070d40000-299070d80000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
29fe34a80000-29fe34ac0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2a2784940000-2a2784980000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2a5046880000-2a50468c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2b35fb380000-2b35fb3c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2d3184c73000-2d3184c83000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184c83000-2d3184ca3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184ca3000-2d3184cb3000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184cb3000-2d3184cc3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184cc3000-2d3184cd3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184cd3000-2d3184cf3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184cf3000-2d3184d03000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d03000-2d3184d13000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d13000-2d3184d23000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d23000-2d3184d33000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d33000-2d3184d63000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d63000-2d3184d73000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d73000-2d3184d7b000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d7b000-2d3184d83000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d83000-2d3184d93000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184d93000-2d3184da3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184da3000-2d3184db3000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184db3000-2d3184dd3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184dd3000-2d3184de3000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184de3000-2d3184e03000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e03000-2d3184e13000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e13000-2d3184e33000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e33000-2d3184e43000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e43000-2d3184e53000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e53000-2d3184e63000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e63000-2d3184e83000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e83000-2d3184e93000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3184e93000-2d3184ea8000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184ea8000-2d3184eb3000 r-xp 00000000 00:00 0                          [anon:js-executable-memory]
2d3184eb3000-2d3204873000 ---p 00000000 00:00 0                          [anon:js-executable-memory]
2d3e3b400000-2d3e3b440000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2d427ba40000-2d427ba80000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2d5422f80000-2d5422fc0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2ed383a80000-2ed383ac0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
2edf479c0000-2edf47a00000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
30c601ac0000-30c601b00000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
30c8ba900000-30c8ba940000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
32b8defc0000-32b8df000000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
32bbc8400000-32bbc8440000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
32df3f9c0000-32df3fa00000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
338f26fc0000-338f27000000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
346267140000-346267180000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
352523780000-3525237c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
3674d1c80000-3674d1cc0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
393524540000-393524580000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
39bac24c0000-39bac2500000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
3a574b200000-3a574b240000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
3ca093240000-3ca093280000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
3d8089880000-3d80898c0000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
3d9978bc0000-3d9978c00000 rw-p 00000000 00:00 0                          [anon:js-gc-heap]
604501d98000-604501d9a000 r--p 00000000 fe:05 240                        /system/bin/app_process64
604501d9a000-604501d9c000 r-xp 00001000 fe:05 240                        /system/bin/app_process64
604501d9c000-604501d9d000 r--p 00002000 fe:05 240                        /system/bin/app_process64
74c9c3400000-74c9c34ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c34ff000-74c9c3500000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3500000-74c9c35ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c35ff000-74c9c3600000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3600000-74c9c36ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c36ff000-74c9c3700000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3700000-74c9c37ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c37ff000-74c9c3800000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3800000-74c9c38ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c38ff000-74c9c3900000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3900000-74c9c39ff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c39ff000-74c9c3a00000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
74c9c3a00000-74c9c3aff000 rw-p 00000000 00:00 0                          [anon:jemalloc]
74c9c3aff000-74c9c3b00000 ---p 00000000 00:00 0                          [anon:jemalloc-decommitted]
